agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,339,26,27,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,340,26,26,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,341,26,26,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,342,26,26,22,STEM,divideCD=7;divideFlag=1
CANCER,343,26,27,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,344,26,27,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,345,26,27,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,346,26,27,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,347,27,27,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,348,27,28,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,349,26,27,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,350,26,27,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,351,26,27,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,352,25,27,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,353,28,26,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,354,26,28,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,355,25,28,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,356,26,29,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,357,26,29,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,358,26,29,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,359,27,28,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,360,26,28,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,361,26,28,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,362,26,28,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,363,26,31,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,364,27,30,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,365,26,29,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,366,27,32,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,367,27,30,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,368,27,20,23,PROGENITOR,divideCD=2;divideFlag=1
